Project,Client,Title,Duration
SOS2021-10,,#1 Creación issues,00:19:53
SOS2021-10,,#10 Proyecto de grupo en Heroku,00:11:41
SOS2021-10,,#12 Ruta generada en el servidor NodeJS,04:11:17
SOS2021-10,,#13 Repositorio actualizado en GoormIDE,00:01:22
SOS2021-10,,#14 Coleccion de Postman,03:48:19
SOS2021-10,,#16 Repositorio actualizado,00:09:54
SOS2021-10,,#17 Realizar API REST,06:03:49
SOS2021-10,,#18 Implementar casos en API REST,06:05:36
SOS2021-10,,#2 Registro de información en repositorio,00:22:46
SOS2021-10,,#20 Devolver los códigos de estado,02:07:48
SOS2021-10,,#21 Configurar sistema de integración continua,04:48:36
SOS2021-10,,#22 Configurar despliegue automático en herokuu,00:30:44
SOS2021-10,,#23 Colección de llamadas de postman,02:26:01
SOS2021-10,,#24 API modular,02:35:13
SOS2021-10,,#25 Implementar búsquedas por todos los campos del recurso,10:42:15
SOS2021-10,,#26 Paginación,02:20:03
SOS2021-10,,#27 Sistema de persistencia,10:23:26
SOS2021-10,,#3 Repositorio GitHub correctamente integrado con Slack,00:27:02
SOS2021-10,,#30 Front-end Svelte,17:30:18
SOS2021-10,,#33 Funcionalidades básicas,19:22:02
SOS2021-10,,#34 Mostrar codigos,07:10:33
SOS2021-10,,#35 Buscar y paginar recursos,12:45:30
SOS2021-10,,#36 Frontend con visualizaciones de datos,21:33:49
SOS2021-10,,#37 Uso de widgets,24:13:48
SOS2021-10,,#38 Integraciones,55:53:15
SOS2021-10,,#39 e2e,22:31:34
SOS2021-10,,#40 Videos,01:48:33
SOS2021-10,,#5 Implementar el código del servidor web,03:20:29
SOS2021-10,,#6 Instalación POSTMAN,00:10:48
SOS2021-10,,#7 Completar plantilla,01:34:40
SOS2021-10,,#8 Sincronización de repositorio en GoormIDE,00:03:54
SOS2021-10,,"#9 Crear carpeta ""public"" y añadir ""index""",00:02:01
SOS2021-10,,#Integraciones,00:49:47
SOS2021-10,,Coleccion de Postman,02:21:43
SOS2021-10,,Completar plantilla,00:41:12
SOS2021-10,,Código actualizado en GitHub,00:19:06
SOS2021-10,,Implementar casos en API REST,02:52:24
SOS2021-10,,Implementar el código del servidor web,03:42:42
SOS2021-10,,Instalación POSTMAN,00:09:26
SOS2021-10,,Realizar API REST,00:15:44
SOS2021-10,,Ruta generada en el servidor NodeJS,00:59:15
SOS2021-10,,Sincronización de repositorio en GoormIDE,00:18:53
,,#21 Configurar sistema de integración continua,01:24:06
,,#23 Colección de llamadas de postman,00:02:12
